Date,Round,Court,Surface,Series,Tournament,tourney_weight,Winner,loser,game_ratio_1,game_ratio_2,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,player_num,player,game_ratio,rank,points,odds,year,week,corr_date
05/13/2021,3rd Round,Outdoor,Clay,Masters 1000,Internazionali BNL d'Italia,1000,Djokovic N.,Davidovich Fokina,0.25,4,48,1,1328,11463,5,1.16,Player_2,Djokovic N.,4,1,11463,1.16,2021,19,05/13/2021
05/15/2021,Quarterfinals,Outdoor,Clay,Masters 1000,Internazionali BNL d'Italia,1000,Djokovic N.,Tsitsipas S.,1.125,0.889,1,5,11463,7610,1.57,2.37,Player_1,Djokovic N.,1.125,1,11463,1.57,2021,19,05/15/2021
05/15/2021,Semifinals,Outdoor,Clay,Masters 1000,Internazionali BNL d'Italia,1000,Djokovic N.,Sonego L.,1.5,0.667,1,33,11463,1817,1.16,5,Player_1,Djokovic N.,1.5,1,11463,1.16,2021,19,05/15/2021
05/16/2021,The Final,Outdoor,Clay,Masters 1000,Internazionali BNL d'Italia,1000,Nadal R.,Djokovic N.,1,1,1,3,11463,9630,2.62,1.5,Player_1,Djokovic N.,1,1,11463,2.62,2021,19,05/16/2021
05/12/2021,2nd Round,Outdoor,Clay,Masters 1000,Internazionali BNL d'Italia,1000,Nadal R.,Sinner J.,1.444,0.692,3,18,9630,2545,1.22,4.33,Player_1,Nadal R.,1.444,3,9630,1.22,2021,19,05/12/2021
05/13/2021,3rd Round,Outdoor,Clay,Masters 1000,Internazionali BNL d'Italia,1000,Nadal R.,Shapovalov D.,1,1,3,14,9630,2855,1.07,9,Player_1,Nadal R.,1,3,9630,1.07,2021,19,05/13/2021
05/14/2021,Quarterfinals,Outdoor,Clay,Masters 1000,Internazionali BNL d'Italia,1000,Nadal R.,Zverev A.,0.583,1.714,6,3,6945,9630,3,1.4,Player_2,Nadal R.,1.714,3,9630,1.4,2021,19,05/14/2021
05/15/2021,Semifinals,Outdoor,Clay,Masters 1000,Internazionali BNL d'Italia,1000,Nadal R.,Opelka R.,0.667,1.5,47,3,1382,9630,8,1.08,Player_2,Nadal R.,1.5,3,9630,1.08,2021,19,05/15/2021
05/16/2021,The Final,Outdoor,Clay,Masters 1000,Internazionali BNL d'Italia,1000,Nadal R.,Djokovic N.,1,1,1,3,11463,9630,2.62,1.5,Player_2,Nadal R.,1,3,9630,1.5,2021,19,05/16/2021
05/18/2021,2nd Round,Outdoor,Clay,ATP250,Geneva Open,250,Andujar P.,Federer R.,1.143,0.875,75,8,950,5605,3.5,1.3,Player_2,Federer R.,0.875,8,5605,1.3,2021,20,05/18/2021
